Family;Glyph;Height;Width
ITC Charter;x;121;123
ITC Cheltenham;H;176;177
ITC Cheltenham;a;128;119
ITC Cheltenham;k;180;120
ITC Cheltenham;o;128;115
ITC Cheltenham;p;175;129
ITC Cheltenham;x;128;134
Lawrence;H;133;129
Lawrence;a;90;88
Lawrence;k;139;103
Lawrence;o;90;91
Lawrence;p;132;95
Lawrence;x;88;102
Linotype Didot;H;179;190
Linotype Didot;a;115;110
Linotype Didot;k;181;127
Linotype Didot;o;115;118
Linotype Didot;p;182;129
Linotype Didot;x;108;122
Minion;H;163;179
Minion;a;117;110
Minion;k;178;133
Minion;o;117;118
Minion;p;175;126
Minion;x;111;123
Morison;H;180;196
Morison;a;127;124
Morison;k;193;139
Morison;o;127;125
Morison;p;170;134
Morison;x;120;138
Mrs Eaves;H;151;174
Mrs Eaves;a;92;88
Mrs Eaves;k;155;110
Mrs Eaves;o;93;102
Mrs Eaves;p;151;113
Mrs Eaves;x;84;101
Quiche Flare;H;176;166
Quiche Flare;a;131;126
Quiche Flare;k;183;128
Quiche Flare;o;131;135
Quiche Flare;p;184;136
Quiche Flare;x;126;125
Radiata;H;174;181
Radiata;a;132;109
Radiata;k;193;139
Radiata;o;134;121
Radiata;p;186;129
Radiata;x;123;135
Recoleta;H;178;163
Recoleta;a;126;118
Recoleta;k;189;126
Recoleta;o;126;125
Recoleta;p;181;127
Recoleta;x;121;125
Rossanova;H;163;121
Rossanova;a;114;86
Rossanova;k;177;92
Rossanova;o;114;96
Rossanova;p;158;99
Rossanova;x;111;86
Sabon;H;175;197
Sabon;a;119;107
Sabon;k;192;127
Sabon;o;119;119
Sabon;p;174;125
Sabon;x;111;131
Silk Serif;H;176;172
Silk Serif;a;121;113
Silk Serif;k;180;119
Silk Serif;o;121;118
Silk Serif;p;172;124
Silk Serif;x;113;127
TT Jenevers;H;193;189
TT Jenevers;a;131;118
TT Jenevers;k;203;145
TT Jenevers;o;131;129
TT Jenevers;p;186;133
TT Jenevers;x;126;138
Velour;H;166;171
Velour;a;122;121
Velour;k;175;157
Velour;o;119;122
Velour;p;167;133
Velour;x;112;132
Zeit;H;177;208
Zeit;a;127;132
Zeit;k;189;152
Zeit;o;126;132
Zeit;p;170;145
Zeit;x;120;147
Aptifer Slab;H;171;162
Aptifer Slab;a;130;116
Aptifer Slab;k;181;132
Aptifer Slab;o;130;112
Aptifer Slab;p;180;129
Aptifer Slab;x;124;132
Artegra Slab;H;176;178
Artegra Slab;a;129;129
Artegra Slab;k;186;134
Artegra Slab;o;129;129
Artegra Slab;p;192;145
Artegra Slab;x;124;133
Bogue Slab;H;172;186
Bogue Slab;a;129;132
Bogue Slab;k;186;144
Bogue Slab;o;129;131
Bogue Slab;p;177;141
Bogue Slab;x;124;133
Breton;H;166;145
Breton;a;121;135
Breton;k;172;111
Breton;o;121;127
Breton;p;168;135
Breton;x;116;110
Calvert;H;177;164
Calvert;a;141;131
Calvert;k;187;133
Calvert;o;141;128
Calvert;p;182;139
Calvert;x;135;118
Circuit;H;176;143
Circuit;a;138;134
Circuit;k;184;136
Circuit;o;138;133
Circuit;p;186;154
Circuit;x;133;134
Clarendon;H;169;196
Clarendon;a;128;133
Clarendon;k;169;151
Clarendon;o;128;131
Clarendon;p;176;140
Clarendon;x;119;145
Courier New;H;144;126
Courier New;a;114;119
Courier New;k;154;121
Courier New;o;114;116
Courier New;p;158;131
Courier New;x;106;127
DIN Next Slab;H;171;155
DIN Next Slab;a;126;113
DIN Next Slab;k;171;124
DIN Next Slab;o;126;104
DIN Next Slab;p;169;119
DIN Next Slab;x;121;111
Egyptian Slate;H;160;168
Egyptian Slate;a;122;115
Egyptian Slate;k;165;134
Egyptian Slate;o;122;113
Egyptian Slate;p;162;130
Egyptian Slate;x;116;127
FF Ernestine;H;13;120
FF Ernestine;a;13;120
FF Ernestine;k;13;120
FF Ernestine;o;13;120
FF Ernestine;p;13;120
FF Ernestine;x;13;120
Foro Rounded;H;170;182
Foro Rounded;a;133;124
Foro Rounded;k;186;144
Foro Rounded;o;133;119
Foro Rounded;p;190;134
Foro Rounded;x;125;141
Glypha;H;180;181
Glypha;a;137;125
Glypha;k;180;131
Glypha;o;137;122
Glypha;p;176;140
Glypha;x;131;133
Henderson Slab;H;172;201
Henderson Slab;a;138;154
Henderson Slab;k;174;163
Henderson Slab;o;140;139
Henderson Slab;p;187;154
Henderson Slab;x;130;158
ITC American Typewriter;H;175;192
ITC American Typewriter;a;139;141
ITC American Typewriter;k;177;157
ITC American Typewriter;o;139;122
ITC American Typewriter;p;180;142
ITC American Typewriter;x;131;160
Klose Slab;H;176;266
Klose Slab;a;146;219
Klose Slab;k;195;238
Klose Slab;o;146;193
Klose Slab;p;193;216
Klose Slab;x;138;219
LTC Squareface;H;176;189
LTC Squareface;a;116;130
LTC Squareface;k;176;141
LTC Squareface;o;115;117
LTC Squareface;p;160;139
LTC Squareface;x;115;127
Leto Two;H;174;188
Leto Two;a;134;130
Leto Two;k;185;157
Leto Two;o;134;139
Leto Two;p;183;155
Leto Two;x;134;156
Mortise;H;163;176
Mortise;a;130;136
Mortise;k;175;148
Mortise;o;130;133
Mortise;p;178;147
Mortise;x;125;135
Museo Slab;H;177;187
Museo Slab;a;133;125
Museo Slab;k;177;133
Museo Slab;o;133;137
Museo Slab;p;181;143
Museo Slab;x;127;126
Museo;H;177;174
Museo;a;133;123
Museo;k;177;125
Museo;o;133;137
Museo;p;181;138
Museo;x;127;116
Newslab;H;173;179
Newslab;a;121;112
Newslab;k;187;130
Newslab;o;121;114
Newslab;p;189;126
Newslab;x;118;127
Nexa Slab;H;176;184
Nexa Slab;a;130;151
Nexa Slab;k;176;132
Nexa Slab;o;130;130
Nexa Slab;p;186;151
Nexa Slab;x;124;125
PMN Caecilia;H;176;175
PMN Caecilia;a;136;120
PMN Caecilia;k;193;139
PMN Caecilia;o;136;127
PMN Caecilia;p;196;140
PMN Caecilia;x;130;137
Rockwell;H;171;165
Rockwell;a;124;120
Rockwell;k;171;137
Rockwell;o;126;126
Rockwell;p;175;146
Rockwell;x;119;131
Sagona;H;171;183
Sagona;a;131;124
Sagona;k;171;141
Sagona;o;131;127
Sagona;p;174;145
Sagona;x;126;137
Sketch Block;H;179;184
Sketch Block;a;131;130
Sketch Block;k;183;157
Sketch Block;o;127;136
Sketch Block;p;192;157
Sketch Block;x;129;142
Smart Chameleon;H;142;127
Smart Chameleon;a;116;118
Smart Chameleon;k;148;116
Smart Chameleon;o;110;108
Smart Chameleon;p;152;122
Smart Chameleon;x;103;137
Suomi Slab Serif;H;174;183
Suomi Slab Serif;a;139;137
Suomi Slab Serif;k;174;142
Suomi Slab Serif;o;139;123
Suomi Slab Serif;p;180;138
Suomi Slab Serif;x;128;142
Technotyp;H;168;162
Technotyp;a;112;103
Technotyp;k;168;116
Technotyp;o;112;102
Technotyp;p;147;110
Technotyp;x;105;114
Vista Slab;H;169;160
Vista Slab;a;137;117
Vista Slab;k;190;121
Vista Slab;o;137;113
Vista Slab;p;186;123
Vista Slab;x;136;119
Yearbook;H;218;166
Yearbook;a;218;195
Yearbook;k;218;160
Yearbook;o;218;119
Yearbook;p;218;135
Yearbook;x;218;181
