Family;Category;Glyph;Height;Width
Seventies Regular;Script;H;243;341
Seventies Regular;Script;a;103;113
Seventies Regular;Script;k;158;124
Seventies Regular;Script;o;104;93
Seventies Regular;Script;p;150;139
Seventies Regular;Script;x;131;116
Silver South Script;Script;H;213;158
Silver South Script;Script;a;63;104
Silver South Script;Script;k;143;91
Silver South Script;Script;o;54;32
Silver South Script;Script;p;128;57
Silver South Script;Script;x;86;102
Summer Loving Regular;Script;H;197;127
Summer Loving Regular;Script;a;98;66
Summer Loving Regular;Script;k;125;101
Summer Loving Regular;Script;o;89;60
Summer Loving Regular;Script;p;99;77
Summer Loving Regular;Script;x;131;95
Thirsty Rough Bold Three;Script;H;245;261
Thirsty Rough Bold Three;Script;a;138;169
Thirsty Rough Bold Three;Script;k;185;177
Thirsty Rough Bold Three;Script;o;138;160
Thirsty Rough Bold Three;Script;p;185;196
Thirsty Rough Bold Three;Script;x;138;153
Turbinado Light Pro;Script;H;182;131
Turbinado Light Pro;Script;a;83;90
Turbinado Light Pro;Script;k;150;74
Turbinado Light Pro;Script;o;83;80
Turbinado Light Pro;Script;p;154;108
Turbinado Light Pro;Script;x;94;77
Viva Beautiful;Script;H;167;119
Viva Beautiful;Script;a;105;135
Viva Beautiful;Script;k;176;133
Viva Beautiful;Script;o;101;112
Viva Beautiful;Script;p;172;105
Viva Beautiful;Script;x;107;103
White Oleander;Script;H;234;230
White Oleander;Script;a;47;101
White Oleander;Script;k;206;122
White Oleander;Script;o;51;86
White Oleander;Script;p;194;188
White Oleander;Script;x;60;64
Aire Roman Std;Serif;H;174;139
Aire Roman Std;Serif;a;119;106
Aire Roman Std;Serif;k;182;113
Aire Roman Std;Serif;o;118;107
Aire Roman Std;Serif;p;180;117
Aire Roman Std;Serif;x;115;114
Albra Text Semi;Serif;H;180;193
Albra Text Semi;Serif;a;128;131
Albra Text Semi;Serif;k;191;145
Albra Text Semi;Serif;o;128;129
Albra Text Semi;Serif;p;176;140
Albra Text Semi;Serif;x;122;136
Anko Regular;Serif;H;168;179
Anko Regular;Serif;a;117;105
Anko Regular;Serif;k;180;124
Anko Regular;Serif;o;116;109
Anko Regular;Serif;p;167;124
Anko Regular;Serif;x;111;125
Baltica Regular;Serif;H;168;186
Baltica Regular;Serif;a;122;118
Baltica Regular;Serif;k;169;138
Baltica Regular;Serif;o;122;121
Baltica Regular;Serif;p;172;131
Baltica Regular;Serif;x;116;133
Bauer Bodoni D Regular;Serif;H;168;190
Bauer Bodoni D Regular;Serif;a;106;116
Bauer Bodoni D Regular;Serif;k;177;124
Bauer Bodoni D Regular;Serif;o;106;109
Bauer Bodoni D Regular;Serif;p;168;128
Bauer Bodoni D Regular;Serif;x;97;129
Begum;Serif;H;169;154
Begum;Serif;a;134;114
Begum;Serif;k;192;126
Begum;Serif;o;134;126
Begum;Serif;p;192;125
Begum;Serif;x;128;139
Blacker Pro Display Medium;Serif;H;177;183
Blacker Pro Display Medium;Serif;a;130;117
Blacker Pro Display Medium;Serif;k;185;142
Blacker Pro Display Medium;Serif;o;130;132
Blacker Pro Display Medium;Serif;p;178;140
Blacker Pro Display Medium;Serif;x;124;138
Bodoni Std Book;Serif;H;168;161
Bodoni Std Book;Serif;a;106;102
Bodoni Std Book;Serif;k;175;111
Bodoni Std Book;Serif;o;106;97
Bodoni Std Book;Serif;p;159;112
Bodoni Std Book;Serif;x;100;104
Capitolium 2 Regular;Serif;H;166;164
Capitolium 2 Regular;Serif;a;119;103
Capitolium 2 Regular;Serif;k;184;123
Capitolium 2 Regular;Serif;o;120;114
Capitolium 2 Regular;Serif;p;179;126
Capitolium 2 Regular;Serif;x;116;122
Cardillac;Serif;H;174;170
Cardillac;Serif;a;126;116
Cardillac;Serif;k;188;132
Cardillac;Serif;o;126;116
Cardillac;Serif;p;181;131
Cardillac;Serif;x;119;135
Corporate A Regular;Serif;H;169;154
Corporate A Regular;Serif;a;124;103
Corporate A Regular;Serif;k;171;127
Corporate A Regular;Serif;o;125;99
Corporate A Regular;Serif;p;172;116
Corporate A Regular;Serif;x;120;121
Desire Basic;Serif;H;170;105
Desire Basic;Serif;a;119;79
Desire Basic;Serif;k;170;93
Desire Basic;Serif;o;119;81
Desire Basic;Serif;p;171;91
Desire Basic;Serif;x;115;90
Dress Base;Serif;H;208;159
Dress Base;Serif;a;181;137
Dress Base;Serif;k;181;140
Dress Base;Serif;o;184;136
Dress Base;Serif;p;183;123
Dress Base;Serif;x;181;142
Editor Bold;Serif;H;188;196
Editor Bold;Serif;a;129;132
Editor Bold;Serif;k;188;158
Editor Bold;Serif;o;129;138
Editor Bold;Serif;p;184;146
Editor Bold;Serif;x;124;153
Freight Display Pro Semibold;Serif;H;157;174
Freight Display Pro Semibold;Serif;a;115;107
Freight Display Pro Semibold;Serif;k;171;124
Freight Display Pro Semibold;Serif;o;116;119
Freight Display Pro Semibold;Serif;p;175;126
Freight Display Pro Semibold;Serif;x;109;123
Hermann Semi Bold;Serif;H;162;183
Hermann Semi Bold;Serif;a;106;101
Hermann Semi Bold;Serif;k;177;113
Hermann Semi Bold;Serif;o;106;104
