category;family;style;glyph;regions;straights;angles;curves
slab serif;Archipad Pro;Archipad Pro Black;a;2;11;6;15
slab serif;Archipad Pro;Archipad Pro Black;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Black;k;1;10;10;5
slab serif;Archipad Pro;Archipad Pro Black;o;2;8;0;17
slab serif;Archipad Pro;Archipad Pro Black;p;2;7;6;11
slab serif;Archipad Pro;Archipad Pro Black;x;1;12;10;5
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;a;2;8;8;17
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;H;1;26;28;3
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;k;1;16;21;6
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;o;2;8;0;17
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;p;2;9;12;12
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;x;1;15;18;9
slab serif;Archipad Pro;Archipad Pro Black Slab;a;2;11;8;12
slab serif;Archipad Pro;Archipad Pro Black Slab;H;1;27;28;0
slab serif;Archipad Pro;Archipad Pro Black Slab;k;1;17;19;5
slab serif;Archipad Pro;Archipad Pro Black Slab;o;2;8;0;17
slab serif;Archipad Pro;Archipad Pro Black Slab;p;2;11;12;10
slab serif;Archipad Pro;Archipad Pro Black Slab;x;1;20;18;4
slab serif;Archipad Pro;Archipad Pro Bold Oblique;a;2;8;6;16
slab serif;Archipad Pro;Archipad Pro Bold Oblique;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Bold Oblique;k;1;10;10;5
slab serif;Archipad Pro;Archipad Pro Bold Oblique;o;2;7;0;19
slab serif;Archipad Pro;Archipad Pro Bold Oblique;p;2;8;6;10
slab serif;Archipad Pro;Archipad Pro Bold Oblique;x;1;10;8;6
slab serif;Archipad Pro;Archipad Pro Bold;a;2;12;6;17
slab serif;Archipad Pro;Archipad Pro Bold;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Bold;k;1;9;9;4
slab serif;Archipad Pro;Archipad Pro Bold;o;2;8;0;20
slab serif;Archipad Pro;Archipad Pro Bold;p;2;8;6;13
slab serif;Archipad Pro;Archipad Pro Bold;x;1;12;10;4
