Category;Family;Style;Connections;Average connections
slab serif;Carollo Playscript;Carollo Playscript Black Italic;0;
slab serif;Carollo Playscript;Carollo Playscript Black;0;
slab serif;Carollo Playscript;Carollo Playscript Bold Italic;0;
slab serif;Carollo Playscript;Carollo Playscript Bold;0;
slab serif;Carollo Playscript;Carollo Playscript Light Italic;0;
slab serif;Carollo Playscript;Carollo Playscript Light;0;
slab serif;Carollo Playscript;Carollo Playscript Medium Italic;0;
slab serif;Carollo Playscript;Carollo Playscript Medium;0;
slab serif;Carollo Playscript;Carollo Playscript Regular Italic;0;
slab serif;Carollo Playscript;Carollo Playscript Regular;0;
slab serif;Cassia;Cassia Bold Italic;0;
slab serif;Cassia;Cassia Bold;0;
slab serif;Cassia;Cassia Cassia;0;
slab serif;Cassia;Cassia ExtraLight Italic;0;
slab serif;Cassia;Cassia ExtraLight;0;
slab serif;Cassia;Cassia Italic;0;
slab serif;Cassia;Cassia Light Italic;0;
slab serif;Cassia;Cassia Light;0;
slab serif;Cassia;Cassia Medium Italic;0;
slab serif;Cassia;Cassia Medium;0;
slab serif;Cayuse;Cayuse;0;
slab serif;Certa Serif;Certa Serif Black Italic;0;
slab serif;Certa Serif;Certa Serif Black;0;
slab serif;Certa Serif;Certa Serif Bold Italic;0;
slab serif;Certa Serif;Certa Serif Bold;0;
slab serif;Certa Serif;Certa Serif Extra Bold Italic;0;
slab serif;Certa Serif;Certa Serif Extra Bold;0;
slab serif;Certa Serif;Certa Serif Extra Light Italic;0;
slab serif;Certa Serif;Certa Serif Extra Light;0;
slab serif;Certa Serif;Certa Serif Italic;0;
slab serif;Certa Serif;Certa Serif Light Italic;0;
slab serif;Certa Serif;Certa Serif Light;0;
slab serif;Certa Serif;Certa Serif Medium Italic;0;
slab serif;Certa Serif;Certa Serif Medium;0;
slab serif;Certa Serif;Certa Serif Thin Italic;0;
slab serif;Certa Serif;Certa Serif Thin;0;
slab serif;Certa Serif;Certa Serif;0;
slab serif;Cinque;Cinque Bold;0;
slab serif;Cinque;Cinque Regular;0;
slab serif;Cintra Slab;Cintra Slab Inline;0;
slab serif;Cintra Slab;Cintra Slab Inline Unicase;0;
slab serif;Cintra Slab;Cintra Slab Outline;0;
slab serif;Cintra Slab;Cintra Slab Outline Unicase;0;
slab serif;Cintra Slab;Cintra Slab Solid;0;
slab serif;Cintra Slab;Cintra Slab Solid Unicase;0;
slab serif;Cintra Slab;Cintra Slab Stencil;0;
slab serif;Cintra Slab;Cintra Slab Stencil Unicase;0;
slab serif;Circe Slab;Circe Slab A Extra Light Italic;0;
slab serif;Circe Slab;Circe Slab A Extra Light;0;
slab serif;Circe Slab;Circe Slab A Hairline Italic;0;
slab serif;Circe Slab;Circe Slab A Hairline;0;
slab serif;Circe Slab;Circe Slab A Italic;0;
slab serif;Circe Slab;Circe Slab A Light Italic;0;
slab serif;Circe Slab;Circe Slab A Light;0;
slab serif;Circe Slab;Circe Slab A Medium Italic;0;
slab serif;Circe Slab;Circe Slab A Medium;0;
slab serif;Circe Slab;Circe Slab A Narrow Light;0;
slab serif;Circe Slab;Circe Slab A Narrow Medium;0;
slab serif;Circe Slab;Circe Slab A Narrow;0;
slab serif;Circe Slab;Circe Slab A Regular;0;
slab serif;Circe Slab;Circe Slab A Thin Italic;0;
slab serif;Circe Slab;Circe Slab A Thin;0;
slab serif;Circe Slab;Circe Slab A Ultra Light Italic;0;
slab serif;Circe Slab;Circe Slab A Ultra Light;0;
slab serif;Circe Slab;Circe Slab B Bold Italic;0;
slab serif;Circe Slab;Circe Slab B Bold;0;
slab serif;Circe Slab;Circe Slab B Italic;0;
slab serif;Circe Slab;Circe Slab B Light Italic;0;
slab serif;Circe Slab;Circe Slab B Light;0;
slab serif;Circe Slab;Circe Slab B Medium Italic;0;
slab serif;Circe Slab;Circe Slab B Medium;0;
slab serif;Circe Slab;Circe Slab B Narrow Light;0;
slab serif;Circe Slab;Circe Slab B Narrow Medium;0;
slab serif;Circe Slab;Circe Slab B Narrow;0;
slab serif;Circe Slab;Circe Slab B Regular;0;
