Category;Family;StyleName;Slope
slab serif;Bodrum Slab;Bodrum Slab 18 Heavy Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 18 Heavy;90.0
slab serif;Bodrum Slab;Bodrum Slab 19 Black Italic;99.99999904632568
slab serif;Bodrum Slab;Bodrum Slab 19 Black;90.0
slab serif;Bodrum Style;Bodrum Style 10 Hairline Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 10 Hairline;90.0
slab serif;Bodrum Style;Bodrum Style 11 Thin Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 11 Thin;90.0
slab serif;Bodrum Style;Bodrum Style 12 Extra Light Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 12 Extra Light;90.0
slab serif;Bodrum Style;Bodrum Style 13 Light Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 13 Light;90.0
slab serif;Bodrum Style;Bodrum Style 14 Regular Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 14 Regular;90.0
slab serif;Bodrum Style;Bodrum Style 15 Medium Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 15 Medium;90.0
slab serif;Bodrum Style;Bodrum Style 16 Bold Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 16 Bold;90.0
slab serif;Bodrum Style;Bodrum Style 17 Extra Bold Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 17 Extra Bold;90.0
slab serif;Bodrum Style;Bodrum Style 18 Heavy Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 18 Heavy;90.0
slab serif;Bodrum Style;Bodrum Style 19 Black Italic;99.99999904632568
slab serif;Bodrum Style;Bodrum Style 19 Black;90.0
slab serif;Bogue Slab;Bogue Slab Black Italic;180.0
slab serif;Bogue Slab;Bogue Slab Black;90.0
slab serif;Bogue Slab;Bogue Slab Bold Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Bold;90.0
slab serif;Bogue Slab;Bogue Slab Extrabold Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Extrabold;90.0
slab serif;Bogue Slab;Bogue Slab Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Light Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Light;90.0
slab serif;Bogue Slab;Bogue Slab Medium Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Medium;90.0
slab serif;Bogue Slab;Bogue Slab Regular;90.0
slab serif;Bogue Slab;Bogue Slab Semibold Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Semibold;90.0
slab serif;Bogue Slab;Bogue Slab Thin Italic;97.99999952316284
slab serif;Bogue Slab;Bogue Slab Thin;90.0
slab serif;Bolchray;Bolchray Regular;232.99998474121094
slab serif;Breakers Slab™;Breakers Slab Black;90.0
slab serif;Breakers Slab™;Breakers Slab Bold;90.0
